[0mroot [8] fit_s->Print([D[0m[38;5;83m[1m()
[0m
  RooFitResult: minimized FCN value: -0.000133455, estimated distance to minimum: 8.04754e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
    prop_binch31_bin11    2.6548e-02 +/-  9.92e-01
     prop_binch31_bin2    1.9632e-01 +/-  9.40e-01
     prop_binch31_bin3    2.0371e-01 +/-  9.85e-01
     prop_binch31_bin4    8.0060e-02 +/-  9.90e-01
     prop_binch31_bin5   -9.1918e-02 +/-  9.90e-01
     prop_binch31_bin6    1.8717e-01 +/-  9.91e-01
     prop_binch31_bin7   -4.5302e-02 +/-  9.98e-01
     prop_binch31_bin8    2.0045e-01 +/-  9.88e-01
     prop_binch31_bin9    1.1277e-01 +/-  9.90e-01
     prop_binch32_bin0   -5.1344e-01 +/-  9.88e-01
     prop_binch32_bin1   -5.5769e-03 +/-  9.86e-01
    prop_binch32_bin10   -4.3863e-02 +/-  9.99e-01
    prop_binch32_bin11    6.6803e-02 +/-  9.97e-01
     prop_binch32_bin2   -2.0099e-01 +/-  9.87e-01
     prop_binch32_bin3    3.2566e-01 +/-  9.82e-01
     prop_binch32_bin4    1.1760e-01 +/-  9.85e-01
     prop_binch32_bin5    2.0095e-02 +/-  9.93e-01
     prop_binch32_bin6   -1.6514e-01 +/-  9.95e-01
     prop_binch32_bin7   -3.5196e-02 +/-  9.93e-01
     prop_binch32_bin8    1.3939e-01 +/-  9.84e-01
     prop_binch32_bin9    6.5195e-02 +/-  9.97e-01
     prop_binch33_bin0    4.5137e-01 +/-  9.66e-01
     prop_binch33_bin1    8.0672e-02 +/-  9.51e-01
    prop_binch33_bin10    1.1447e-01 +/-  9.95e-01
    prop_binch33_bin11   -4.3223e-02 +/-  9.97e-01
     prop_binch33_bin2   -1.4381e-01 +/-  9.77e-01
     prop_binch33_bin3   -3.9777e-02 +/-  9.70e-01
     prop_binch33_bin4    1.9758e-01 +/-  9.19e-01
     prop_binch33_bin5    1.7773e-01 +/-  9.32e-01
     prop_binch33_bin6   -1.4217e-01 +/-  9.87e-01
     prop_binch33_bin7    9.1224e-02 +/-  9.84e-01
     prop_binch33_bin8    2.6652e-02 +/-  9.90e-01
     prop_binch33_bin9    1.6453e-01 +/-  9.82e-01
     prop_binch34_bin0   -4.6925e-02 +/-  9.72e-01
     prop_binch34_bin1   -1.5813e-01 +/-  9.72e-01
    prop_binch34_bin10    1.0350e-01 +/-  9.96e-01
    prop_binch34_bin11   -6.3227e-03 +/-  9.96e-01
     prop_binch34_bin2   -5.9975e-02 +/-  9.73e-01
     prop_binch34_bin3   -4.9730e-03 +/-  9.74e-01
     prop_binch34_bin4    1.8526e-01 +/-  9.67e-01
     prop_binch34_bin5    2.7621e-03 +/-  9.79e-01
     prop_binch34_bin6    5.5070e-02 +/-  9.87e-01
     prop_binch34_bin7    8.9704e-02 +/-  9.87e-01
     prop_binch34_bin8   -1.2429e-01 +/-  9.93e-01
     prop_binch34_bin9   -1.4621e-01 +/-  9.94e-01
     prop_binch35_bin0    2.6519e-01 +/-  9.61e-01
     prop_binch35_bin1    3.2032e-01 +/-  9.52e-01
    prop_binch35_bin10   -9.0079e-02 +/-  9.98e-01
    prop_binch35_bin11   -8.3824e-02 +/-  9.97e-01
     prop_binch35_bin2    2.7847e-01 +/-  9.30e-01
     prop_binch35_bin3   -3.6834e-02 +/-  9.76e-01
     prop_binch35_bin4    3.7065e-01 +/-  9.73e-01
     prop_binch35_bin5    4.4530e-01 +/-  8.46e-01
     prop_binch35_bin6    9.1088e-02 +/-  9.85e-01
     prop_binch35_bin7    2.4880e-01 +/-  9.72e-01
     prop_binch35_bin8    6.5528e-01 +/-  9.57e-01
     prop_binch35_bin9   -3.3141e-01 +/-  9.45e-01
     prop_binch36_bin0    1.7791e-01 +/-  9.72e-01
     prop_binch36_bin1    6.3672e-02 +/-  9.71e-01
    prop_binch36_bin10   -4.4377e-02 +/-  9.90e-01
    prop_binch36_bin11    3.3744e-02 +/-  9.85e-01
     prop_binch36_bin2   -2.7625e-02 +/-  9.74e-01
     prop_binch36_bin3   -1.1153e-01 +/-  9.72e-01
     prop_binch36_bin4   -1.5118e-01 +/-  9.71e-01
     prop_binch36_bin5   -1.1215e-02 +/-  9.75e-01
     prop_binch36_bin6    8.2988e-02 +/-  9.89e-01
     prop_binch36_bin7    2.0131e-01 +/-  9.90e-01
     prop_binch36_bin8    9.9213e-02 +/-  9.91e-01
     prop_binch36_bin9   -3.2700e-02 +/-  9.95e-01
     prop_binch37_bin0    1.5880e-01 +/-  9.70e-01
     prop_binch37_bin1   -6.4022e-01 +/-  9.35e-01
    prop_binch37_bin10    9.1881e-02 +/-  9.92e-01
    prop_binch37_bin11    2.0750e-01 +/-  9.82e-01
     prop_binch37_bin2    9.8202e-02 +/-  9.62e-01
     prop_binch37_bin3   -1.0788e-01 +/-  9.78e-01
     prop_binch37_bin4    1.1594e-01 +/-  9.72e-01
     prop_binch37_bin5    5.6255e-02 +/-  9.84e-01
     prop_binch37_bin6   -1.6332e-01 +/-  9.90e-01
     prop_binch37_bin7    1.5210e-01 +/-  9.91e-01
     prop_binch37_bin8   -8.1427e-02 +/-  9.92e-01
     prop_binch37_bin9   -1.4804e-02 +/-  9.96e-01
     prop_binch38_bin0   -4.1666e-01 +/-  9.70e-01
     prop_binch38_bin1   -2.5334e-01 +/-  9.69e-01
    prop_binch38_bin10   -1.6388e-01 +/-  9.99e-01
    prop_binch38_bin11   -8.3301e-02 +/-  9.93e-01
     prop_binch38_bin2   -5.3475e-02 +/-  9.70e-01
     prop_binch38_bin3    3.2332e-01 +/-  9.65e-01
     prop_binch38_bin4    3.2619e-01 +/-  9.71e-01
     prop_binch38_bin5   -1.1382e-01 +/-  9.84e-01
     prop_binch38_bin6   -1.6148e-01 +/-  9.88e-01
     prop_binch38_bin7    4.8206e-02 +/-  9.86e-01
     prop_binch38_bin8    2.4491e-02 +/-  9.93e-01
     prop_binch38_bin9   -3.5316e-02 +/-  9.95e-01
     prop_binch39_bin0    3.3489e-01 +/-  9.57e-01
     prop_binch39_bin1   -8.3314e-01 +/-  9.10e-01
    prop_binch39_bin10   -9.8059e-02 +/-  9.97e-01
    prop_binch39_bin11   -1.9994e-02 +/-  9.93e-01
     prop_binch39_bin2    5.2961e-01 +/-  9.39e-01
     prop_binch39_bin3    6.8684e-02 +/-  9.43e-01
     prop_binch39_bin4    1.2225e-01 +/-  9.72e-01
     prop_binch39_bin5    1.7986e-01 +/-  9.73e-01
     prop_binch39_bin6    2.0675e-01 +/-  7.97e-01
     prop_binch39_bin7    5.0653e-03 +/-  9.86e-01
     prop_binch39_bin8    1.5041e-01 +/-  9.86e-01
     prop_binch39_bin9   -2.2218e-01 +/-  9.86e-01
      prop_binch3_bin0    1.9223e-01 +/-  9.41e-01
      prop_binch3_bin1    4.0708e-01 +/-  9.63e-01
      prop_binch3_bin2    3.5784e-02 +/-  9.62e-01
     prop_binch40_bin0    4.1399e-02 +/-  9.70e-01
     prop_binch40_bin1    2.1213e-02 +/-  9.66e-01
    prop_binch40_bin10   -1.5141e-02 +/-  9.91e-01
    prop_binch40_bin11    1.2495e-03 +/-  9.95e-01
     prop_binch40_bin2    1.1233e-02 +/-  9.67e-01
     prop_binch40_bin3   -5.3175e-02 +/-  9.65e-01
     prop_binch40_bin4   -1.2370e-02 +/-  9.70e-01
     prop_binch40_bin5   -2.3051e-01 +/-  9.80e-01
     prop_binch40_bin6    2.3383e-01 +/-  9.83e-01
     prop_binch40_bin7   -2.9416e-02 +/-  9.87e-01
     prop_binch40_bin8    7.5720e-02 +/-  9.92e-01
     prop_binch40_bin9   -5.9495e-02 +/-  9.90e-01
     prop_binch41_bin0   -1.2745e-01 +/-  9.98e-01
     prop_binch41_bin1    1.0589e-01 +/-  9.94e-01
     prop_binch41_bin2   -8.9914e-02 +/-  9.99e-01
     prop_binch41_bin3   -5.3692e-02 +/-  9.99e-01
     prop_binch42_bin0    9.0482e-02 +/-  9.98e-01
     prop_binch42_bin1    9.9932e-02 +/-  9.95e-01
     prop_binch42_bin2   -3.8121e-02 +/-  9.98e-01
     prop_binch42_bin3    5.7638e-02 +/-  9.97e-01
     prop_binch43_bin0   -1.2185e-01 +/-  9.94e-01
     prop_binch43_bin1   -1.0114e-01 +/-  9.90e-01
     prop_binch43_bin2   -3.5464e-02 +/-  9.97e-01
     prop_binch43_bin3   -3.1765e-02 +/-  9.99e-01
     prop_binch44_bin0   -1.0727e-02 +/-  9.93e-01
     prop_binch44_bin1    2.0513e-01 +/-  9.86e-01
     prop_binch44_bin2   -1.0632e-01 +/-  9.97e-01
     prop_binch44_bin3   -2.8424e-02 +/-  9.98e-01
      prop_binch4_bin0   -2.0329e-01 +/-  9.56e-01
      prop_binch4_bin1   -5.1808e-01 +/-  9.85e-01
      prop_binch4_bin2    6.3074e-02 +/-  9.71e-01
      prop_binch5_bin0   -4.8587e-01 +/-  8.92e-01
      prop_binch5_bin1    2.1560e-01 +/-  9.70e-01
      prop_binch5_bin2    7.4522e-01 +/-  9.44e-01
      prop_binch6_bin0   -8.6840e-02 +/-  9.71e-01
      prop_binch6_bin1   -1.1689e-01 +/-  9.78e-01
      prop_binch6_bin2    4.6068e-02 +/-  9.81e-01
      prop_binch7_bin0    1.1720e-01 +/-  9.54e-01
      prop_binch7_bin1    2.3828e-01 +/-  9.64e-01
      prop_binch7_bin2    5.3341e-02 +/-  9.70e-01
      prop_binch8_bin0    3.1322e-01 +/-  9.47e-01
      prop_binch8_bin1   -3.3220e-01 +/-  9.76e-01
      prop_binch8_bin2    2.5652e-01 +/-  9.60e-01
      prop_binch9_bin0   -5.5931e-01 +/-  9.77e-01
      prop_binch9_bin1   -5.5238e-02 +/-  9.70e-01
      prop_binch9_bin2    1.0921e-01 +/-  9.73e-01
      r_TTW_njets_bin0    1.2872e+00 +/-  3.65e-01
      r_TTW_njets_bin1    1.1135e+00 +/-  2.73e-01
      r_TTW_njets_bin2    1.2579e+00 +/-  2.43e-01

[0mroot [9] .>
[0m
